subject,manual_t_cycle_idx,rt_interval_ms,t_detected_original,t_detected_detrended,error_original_ms,error_detrended_ms,error_diff_ms,in_window,cycle_std,baseline_drift,t_peak_orig,t_peak_detr
sel853,168,264.0,True,True,100.0,104.0,4.0,True,0.3349282731705006,0.06500000000000003,193,194
sel853,166,260.0,True,True,124.0,136.0,12.0,True,0.37284984745758215,-0.22999999999999998,197,200
sel853,164,256.0,True,True,108.0,108.0,0.0,True,0.3698254284118387,-0.049999999999999996,191,191
sel853,163,248.0,True,True,108.0,112.0,4.0,True,0.34581652606410973,0.065,190,191
sel853,168,264.0,True,True,128.0,132.0,4.0,True,0.3395767188945474,-0.05,200,201
sel853,165,252.0,True,True,100.0,104.0,4.0,True,0.3415664466061263,0.0,190,191
sel853,166,272.0,True,True,104.0,108.0,4.0,True,0.350272491467489,0.05500000000000001,192,193
sel853,167,268.0,True,True,104.0,116.0,12.0,True,0.3355825448008284,0.12499999999999999,193,196
sel853,167,264.0,True,True,116.0,116.0,0.0,True,0.34143101478063176,0.05999999999999997,196,196
sel853,170,268.0,True,True,100.0,100.0,0.0,True,0.33886003607038356,-0.12999999999999998,195,195
sel853,170,260.0,True,True,104.0,152.0,48.0,True,0.3324728766663844,-0.020000000000000018,196,208
sel853,162,248.0,True,True,120.0,132.0,12.0,True,0.3502963424016871,0.10500000000000001,192,195
sel853,169,264.0,True,True,140.0,124.0,-16.0,True,0.34637043290179337,-0.065,204,200
sel853,163,252.0,True,True,108.0,108.0,0.0,True,0.3798284612821951,-0.175,190,190
sel853,161,244.0,True,True,132.0,136.0,4.0,True,0.3774036830768878,-0.11,194,195
sel853,168,272.0,True,True,100.0,104.0,4.0,True,0.35995588618607144,0.135,193,194
sel853,165,260.0,True,True,128.0,128.0,0.0,True,0.35376815854454735,0.15,197,197
sel853,168,264.0,True,True,116.0,120.0,4.0,True,0.33786289086100213,0.024999999999999994,197,198
sel853,171,264.0,True,True,100.0,104.0,4.0,True,0.3757710259527446,-0.13,196,197
sel853,166,264.0,True,True,100.0,104.0,4.0,True,0.36441260869377173,-0.03,191,192
sel853,170,272.0,True,True,88.0,92.0,4.0,True,0.3445857269490887,0.13999999999999999,192,193
sel853,164,264.0,True,True,92.0,120.0,28.0,True,0.3597978021455657,0.0050000000000000044,187,194
sel853,167,260.0,True,True,108.0,136.0,28.0,True,0.33606242239995704,0.035,194,201
sel853,167,264.0,True,True,104.0,104.0,0.0,True,0.34932139038570464,-0.10999999999999999,193,193
sel853,168,268.0,True,True,104.0,108.0,4.0,True,0.3375307871531832,0.10500000000000001,194,195
sel853,164,252.0,True,True,132.0,136.0,4.0,True,0.34356395340519064,0.0050000000000000044,197,198
sel853,172,272.0,True,True,88.0,88.0,0.0,True,0.35171311698013225,-0.13,194,194
sel853,171,268.0,True,True,112.0,116.0,4.0,True,0.343203276900364,-0.010000000000000002,199,200
sel853,169,276.0,True,True,104.0,100.0,-4.0,True,0.35392311223625955,0.06,195,194
sel853,167,272.0,True,True,116.0,116.0,0.0,True,0.38242028794238375,-0.02500000000000001,196,196
sel233,128,212.0,True,True,80.0,80.0,0.0,True,0.4363552642820603,0.04500000000000001,148,148
sel233,127,216.0,True,True,68.0,68.0,0.0,True,0.44536062101934676,0.0050000000000000044,144,144
sel233,122,204.0,True,True,64.0,72.0,8.0,True,0.44064596930397143,0.06,138,140
sel233,124,208.0,True,True,8.0,72.0,64.0,True,0.45977102874314274,-0.040000000000000036,126,142
sel233,126,208.0,True,True,80.0,80.0,0.0,True,0.43931529764309735,0.05999999999999997,146,146
sel233,126,204.0,True,True,88.0,88.0,0.0,True,0.43803970012875415,0.0,148,148
sel233,126,208.0,True,True,80.0,80.0,0.0,True,0.4385575187181851,-0.03999999999999998,146,146
sel233,118,184.0,True,True,92.0,96.0,4.0,True,0.4553519391139793,0.034999999999999976,141,142
sel233,130,220.0,True,True,72.0,72.0,0.0,True,0.4365112140598452,-0.010000000000000009,148,148
sel233,127,216.0,True,True,68.0,68.0,0.0,True,0.43894155583080313,-0.06,144,144
sel233,122,204.0,True,True,72.0,72.0,0.0,True,0.4484314835926308,-0.08499999999999996,140,140
sel233,126,216.0,True,True,64.0,64.0,0.0,True,0.44369202259924606,-0.0050000000000000044,142,142
sel233,123,196.0,True,True,84.0,84.0,0.0,True,0.42213459568439826,0.08000000000000002,144,144
sel233,122,200.0,True,True,80.0,80.0,0.0,True,0.41526916100313416,0.14500000000000002,142,142
sel233,128,220.0,True,True,64.0,64.0,0.0,True,0.43653045667404844,-0.03999999999999998,144,144
sel233,123,192.0,True,True,100.0,100.0,0.0,True,0.3565545057288655,0.255,148,148
sel233,124,204.0,True,True,80.0,80.0,0.0,True,0.42308216960398776,0.06499999999999997,144,144
sel233,123,200.0,True,True,84.0,84.0,0.0,True,0.43285818518527697,0.030000000000000013,144,144
sel233,122,200.0,True,True,80.0,80.0,0.0,True,0.4579664356400363,-0.05,142,142
sel233,123,200.0,True,True,84.0,84.0,0.0,True,0.44125263769208173,0.0050000000000000044,144,144
sel233,127,212.0,True,True,76.0,76.0,0.0,True,0.4419821174109083,-0.010000000000000009,146,146
sel233,127,216.0,True,True,68.0,68.0,0.0,True,0.454209265078766,0.0,144,144
sel233,130,224.0,True,True,64.0,64.0,0.0,True,0.45370512629581355,-0.0050000000000000044,146,146
sel233,130,212.0,True,True,88.0,88.0,0.0,True,0.45482337630631625,0.03999999999999998,152,152
sel233,123,200.0,True,True,84.0,84.0,0.0,True,0.45047012227878774,0.085,144,144
sel233,125,208.0,True,True,76.0,76.0,0.0,True,0.46449137027975534,0.009999999999999981,144,144
sel233,129,216.0,True,True,76.0,76.0,0.0,True,0.46943796182243297,-0.1,148,148
sel233,128,216.0,True,True,72.0,72.0,0.0,True,0.4373965963579031,0.054999999999999966,146,146
sel233,128,212.0,True,True,80.0,80.0,0.0,True,0.44779261072758025,0.025000000000000022,148,148
sel233,123,208.0,True,True,68.0,68.0,0.0,True,0.4688229900853127,0.0050000000000000044,140,140
sel45,195,328.0,True,True,80.0,80.0,0.0,True,0.17256580581935815,0.0049999999999999975,215,215
sel45,195,332.0,True,True,192.0,192.0,0.0,True,0.1372640528357401,-0.045,147,147
sel45,428,344.0,True,True,4.0,8.0,4.0,True,0.1617015381621333,-0.14,429,430
sel45,537,332.0,True,True,112.0,112.0,0.0,True,0.1860851330414906,0.16500000000000004,565,565
sel45,424,340.0,True,True,212.0,212.0,0.0,True,0.17195274950320497,0.095,371,371
sel45,198,328.0,True,True,200.0,116.0,-84.0,True,0.16765603451378724,-0.015,148,227
sel45,428,344.0,True,True,16.0,16.0,0.0,True,0.1822921939710089,0.125,432,432
sel45,652,324.0,True,True,208.0,212.0,4.0,True,0.1732574780448487,-0.09,600,599
sel45,191,308.0,True,True,192.0,192.0,0.0,True,0.15473489650485478,-0.039999999999999994,143,143
sel45,202,344.0,True,True,208.0,100.0,-108.0,True,0.1506439556285606,0.045,150,227
sel45,204,352.0,True,True,92.0,92.0,0.0,True,0.1645145635411117,0.024999999999999994,227,227
sel45,197,332.0,True,True,112.0,112.0,0.0,True,0.173534894781519,-0.135,225,225
sel45,197,324.0,True,True,120.0,120.0,0.0,True,0.16786545929905805,0.1,227,227
sel45,192,320.0,True,True,112.0,196.0,84.0,True,0.1552705012918699,0.16,220,143
sel45,196,332.0,True,True,4.0,92.0,88.0,True,0.1586215547613155,-0.09,197,219
sel46,238,364.0,True,True,80.0,80.0,0.0,True,0.11479681657496928,-0.085,258,258
sel46,235,368.0,True,True,76.0,76.0,0.0,True,0.13377649337044542,-0.015,254,254
sel46,236,352.0,True,True,92.0,92.0,0.0,True,0.11303933775672277,-0.03,259,259
sel46,230,332.0,True,True,104.0,104.0,0.0,True,0.1299711048028324,0.16,256,256
sel46,231,376.0,True,True,68.0,68.0,0.0,True,0.121193785156907,0.045,248,248
sel46,234,400.0,True,True,224.0,44.0,-180.0,True,0.15888007451208572,-0.01999999999999999,178,245
sel46,233,380.0,True,True,64.0,64.0,0.0,True,0.12403385684936002,-0.03,249,249
sel46,236,396.0,True,True,256.0,48.0,-208.0,True,0.16208075218082743,-0.22000000000000003,172,248
sel46,248,396.0,True,True,228.0,48.0,-180.0,True,0.13615068708663364,-0.22000000000000003,191,260
sel46,239,372.0,True,True,72.0,72.0,0.0,True,0.1205440863232768,-0.03500000000000003,257,257
sel46,235,396.0,True,True,48.0,48.0,0.0,True,0.12974256762244832,0.22000000000000003,247,247
sel46,248,392.0,True,True,52.0,52.0,0.0,True,0.11323884664234658,0.05499999999999999,261,261
sel46,228,392.0,True,True,52.0,52.0,0.0,True,0.12406343815319054,0.15,241,241
sel46,241,372.0,True,True,72.0,72.0,0.0,True,0.11374907061605094,0.0,259,259
sel46,230,360.0,True,True,84.0,84.0,0.0,True,0.12638810389479876,0.015,251,251
sel46,235,356.0,True,True,16.0,84.0,68.0,True,0.10417548158111466,-0.055,231,256
sel46,229,352.0,True,True,88.0,88.0,0.0,True,0.12619779218503246,0.09999999999999999,251,251
sel46,622,340.0,True,True,80.0,80.0,0.0,True,0.10767185147821902,0.11000000000000001,642,642
sel46,226,384.0,True,True,236.0,240.0,4.0,True,0.1914280835421988,0.18,167,166
sel46,245,388.0,True,True,56.0,56.0,0.0,True,0.14311739116970654,0.045000000000000005,259,259
sel46,239,376.0,True,True,68.0,68.0,0.0,True,0.13091123968317786,0.055,256,256
sel46,238,368.0,True,True,76.0,76.0,0.0,True,0.12900370826494179,-0.03,257,257
sel46,226,368.0,True,True,76.0,76.0,0.0,True,0.13273503114888957,0.025,245,245
sel46,237,360.0,True,True,84.0,84.0,0.0,True,0.1099164750896601,-0.065,258,258
sel46,244,376.0,True,True,68.0,68.0,0.0,True,0.10848893440756475,0.035,261,261
sel46,229,376.0,True,True,188.0,68.0,-120.0,True,0.13799535910965438,-0.005,182,246
sel46,237,376.0,True,True,68.0,68.0,0.0,True,0.14269254009265103,0.045,254,254
sel46,247,352.0,True,True,84.0,92.0,8.0,True,0.11331745189196168,-0.125,268,270
sel46,257,380.0,True,True,60.0,60.0,0.0,True,0.11665484601916944,0.04,272,272
sel811,236,320.0,True,True,8.0,8.0,0.0,True,0.19485061246210475,0.030000000000000013,238,238
sel811,238,308.0,True,True,8.0,8.0,0.0,True,0.19357532297607227,-0.010000000000000009,240,240
sel811,228,300.0,True,True,0.0,0.0,0.0,True,0.2037058205941292,-0.045,228,228
sel811,236,312.0,True,True,4.0,4.0,0.0,True,0.1853605251259176,-0.03999999999999998,237,237
sel811,240,296.0,True,True,16.0,16.0,0.0,True,0.19549236749741913,0.03,244,244
sel811,228,284.0,True,True,4.0,4.0,0.0,True,0.20256171085306382,0.0,229,229
sel811,229,300.0,True,True,20.0,16.0,-4.0,True,0.19485948107240003,0.035,234,233
sel811,233,308.0,True,True,12.0,12.0,0.0,True,0.20328167224436025,-0.03,236,236
sel811,238,304.0,True,True,16.0,16.0,0.0,True,0.20067717766913712,-0.015000000000000013,242,242
sel811,218,276.0,True,True,12.0,12.0,0.0,True,0.1968579915497192,-0.03,221,221
sel811,236,304.0,True,True,12.0,12.0,0.0,True,0.19168676574586305,0.010000000000000009,239,239
sel811,232,292.0,True,True,4.0,4.0,0.0,True,0.1986077684444491,-0.015000000000000013,233,233
sel811,229,308.0,True,True,4.0,4.0,0.0,True,0.19741108023083487,0.05499999999999999,228,228
sel811,247,316.0,True,True,4.0,4.0,0.0,True,0.19313418886695602,0.030000000000000013,248,248
sel811,245,308.0,True,True,8.0,8.0,0.0,True,0.19193489992874566,-0.02500000000000001,247,247
sel811,226,284.0,True,True,16.0,16.0,0.0,True,0.19325280117320504,-0.03,230,230
sel811,230,292.0,True,True,24.0,24.0,0.0,True,0.18867881094479466,-0.03,236,236
sel811,231,292.0,True,True,20.0,20.0,0.0,True,0.1912016543458225,-0.07,236,236
sel811,226,308.0,True,True,4.0,4.0,0.0,True,0.2024605696198633,0.12000000000000002,227,227
sel811,234,296.0,True,True,20.0,20.0,0.0,True,0.20017180121085987,0.09,239,239
sel811,233,292.0,True,True,24.0,24.0,0.0,True,0.19965917676188685,-0.15000000000000002,239,239
sel811,233,300.0,True,True,24.0,24.0,0.0,True,0.18885102642734838,0.03,239,239
sel811,232,292.0,True,True,4.0,0.0,-4.0,True,0.19619603772789548,0.03,233,232
sel811,248,320.0,True,True,0.0,0.0,0.0,True,0.19047851037928756,-0.04999999999999999,248,248
sel811,229,300.0,True,True,4.0,4.0,0.0,True,0.19160113642078574,-0.014999999999999986,228,228
sel811,243,320.0,True,True,4.0,4.0,0.0,True,0.1897042979267669,0.03,242,242
sel811,235,300.0,True,True,20.0,20.0,0.0,True,0.20043518997635962,-0.01999999999999999,240,240
sel811,236,304.0,True,True,16.0,16.0,0.0,True,0.18983534960838433,-0.009999999999999981,240,240
sel811,239,316.0,True,True,4.0,4.0,0.0,True,0.1879210662710211,0.0,240,240
sel811,243,316.0,True,True,4.0,4.0,0.0,True,0.19556099376631156,-0.010000000000000009,244,244
sel883,206,316.0,True,True,116.0,116.0,0.0,True,0.46305197108073715,-0.10500000000000001,235,235
sel883,209,324.0,True,True,120.0,120.0,0.0,True,0.44361795013406785,-0.12,239,239
sel883,210,336.0,True,True,100.0,104.0,4.0,True,0.4394618450763431,0.05,235,236
sel883,208,316.0,True,True,124.0,128.0,4.0,True,0.4070980882223458,0.09,239,240
sel883,204,320.0,True,True,108.0,124.0,16.0,True,0.46472220757423366,0.020000000000000004,231,235
sel883,212,320.0,True,True,112.0,112.0,0.0,True,0.3907915788069903,-0.125,240,240
sel883,195,288.0,True,True,128.0,128.0,0.0,True,0.4632567963268145,-0.045000000000000005,227,227
sel883,211,340.0,True,True,92.0,96.0,4.0,True,0.44470183342045966,0.155,234,235
sel883,208,320.0,True,True,116.0,124.0,8.0,True,0.4043834957780978,-0.095,237,239
sel883,208,332.0,True,True,104.0,104.0,0.0,True,0.4034417430063478,0.0,234,234
sel883,209,320.0,True,True,124.0,104.0,-20.0,True,0.3981333824146087,-0.115,240,235
sel883,211,328.0,True,True,116.0,116.0,0.0,True,0.43266033357003875,0.03,240,240
sel883,210,316.0,True,True,116.0,124.0,8.0,True,0.4312179336643301,0.115,239,241
sel883,212,324.0,True,True,116.0,116.0,0.0,True,0.43767351025858947,0.044999999999999984,241,241
sel883,209,324.0,True,True,108.0,120.0,12.0,True,0.42946527634255177,-0.1,236,239
sel883,210,324.0,True,True,108.0,116.0,8.0,True,0.415422185598124,-0.14,237,239
sel883,210,332.0,True,True,104.0,108.0,4.0,True,0.4477515147381837,0.05,236,237
sel883,212,324.0,True,True,120.0,120.0,0.0,True,0.37846265341165125,0.02,242,242
sel883,211,324.0,True,True,116.0,116.0,0.0,True,0.4449296579435355,-0.045,240,240
sel883,207,320.0,True,True,116.0,116.0,0.0,True,0.4459647246353362,0.06,236,236
